iter	Passed	Remaining
905	1431	148
906	1432	146
907	1433	145
908	1434	143
909	1435	141
910	1437	140
911	1438	138
912	1441	137
913	1442	135
914	1443	134
915	1445	132
916	1446	130
917	1447	129
918	1447	127
919	1448	125
920	1450	124
921	1451	122
922	1453	121
923	1455	119
924	1456	118
925	1457	116
926	1458	114
927	1459	113
928	1460	111
929	1461	110
930	1463	108
931	1464	106
932	1465	105
933	1467	103
934	1469	102
935	1471	100
936	1472	99
937	1473	97
938	1474	95
939	1476	94
940	1477	92
941	1478	91
942	1479	89
943	1480	87
944	1481	86
945	1483	84
946	1485	83
947	1486	81
948	1488	79
949	1489	78
950	1490	76
951	1491	75
952	1492	73
953	1493	72
954	1494	70
955	1495	68
956	1499	67
957	1500	65
958	1501	64
959	1502	62
960	1503	61
961	1504	59
962	1505	57
963	1506	56
964	1507	54
965	1508	53
966	1509	51
967	1510	49
968	1512	48
969	1515	46
970	1516	45
971	1517	43
972	1518	42
973	1519	40
974	1521	39
975	1522	37
976	1523	35
977	1524	34
978	1527	32
979	1529	31
980	1530	29
981	1531	28
982	1532	26
983	1533	24
984	1534	23
985	1535	21
986	1536	20
987	1537	18
988	1538	17
989	1539	15
990	1541	13
991	1543	12
992	1544	10
993	1545	9
994	1546	7
995	1548	6
996	1549	4
997	1550	3
998	1551	1
999	1552	0
